SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
18.1084,237.846,526,0,524,0
9.16327,406.917,790,0,264,0
6.43476,447.977,976,0,186,0
18.5609,1512.6,1442,0,466,0
10.0322,1353.68,1730,0,288,0
57.1945,1725.25,3377,0,1647,0
31.3303,1725.25,3647,0,270,40
1.60673,838.506,3690,0,43,1
42.9074,409.691,292,0,290,0
30.5127,315.781,1143,0,851,0
16.103,445.405,1606,0,463,0
30.8216,841.379,1845,0,1213,0
22.1061,660.151,1846,0,953,0
18.8846,1060.14,1846,0,817,0
32.7507,1100.43,1847,0,1420,0
29.3572,949.811,1847,0,1272,0
17.2724,783.26,1848,0,180,21
26.1175,747.285,1848,0,769,0
40.0488,311.935,1848,0,801,5
21.3384,795.774,1849,0,880,6
32.6451,187.978,1849,0,521,0
18.6447,334.498,1849,0,491,4
43.5802,741.375,1850,0,1282,2
11.7434,800.775,1850,0,500,2
47.7697,718.137,1851,0,1143,0
28.1413,742.913,1852,0,1215,0
29.5366,748.796,1852,0,1272,0
27.6579,251.501,1852,0,265,6
21.8714,815.446,1853,0,842,8
35.0037,363.406,1853,0,688,0
11.3972,663.442,1854,0,443,5
0.488124,768.984,1854,0,20,1
22.0818,408.93,25,0,23,0
30.068,286.612,890,0,865,0
25.5912,389.343,928,0,1089,0
21.5431,476.215,929,0,931,0
16.848,694.686,929,0,731,0
24.7282,514.494,931,0,1069,0
23.6544,527.837,932,0,1021,0
24.5431,412.371,933,0,1060,0
20.8029,394.19,934,0,896,0
16.1853,572.568,935,0,699,0
34.469,313.718,936,0,1488,0
10.7546,375.042,937,0,462,0
31.0707,401.247,938,0,1346,0
21.3855,578.543,939,0,925,0
16.4094,425.325,940,0,715,0
27.9861,487.516,941,0,1211,0
19.5392,491.66,942,0,843,0
24.5615,421.262,943,0,1060,0
21.5653,389.014,944,0,931,0
23.7035,656.336,945,0,1025,0
26.9677,416.111,946,0,1162,0
25.7124,358.583,948,0,1107,0
32.8461,375.881,949,0,1416,0
28.0807,392.834,950,0,1211,0
23.3612,461.266,951,0,1010,0
24.8725,482.734,952,0,1064,2
25.3267,445.199,954,0,1092,0
24.8144,487.643,955,0,1072,0
9.10646,474.873,955,0,393,0
32.7561,378.544,957,0,1421,0
24.8311,460.895,958,0,1076,1
14.0433,429.101,958,0,608,0
31.8691,419.18,960,0,1380,0
25.8506,448.703,961,0,1116,0
22.2931,490.913,962,0,965,0
22.458,546.586,963,0,974,1
28.4622,409.981,964,0,1227,0
29.817,373.371,966,0,1286,0
21.084,586.135,967,0,910,0
28.8422,322.616,968,0,1247,0
26.3498,348.558,969,0,1135,0
41.4827,313.275,971,0,1787,0
30.0279,348.938,972,0,1290,0
17.3833,356.217,973,0,747,1
15.3647,569.161,974,0,667,0
10.2961,692.549,974,0,448,0
5.84461,1113.22,974,0,257,0
32.9411,332.047,976,0,1364,0
30.196,348.431,977,0,1280,0
33.4166,376.567,979,0,1441,0
