,,,,,
,,,,,
Method,CTCP,,,,
MSS,1500,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
18.8303,159.05,547,0,545,0
33.6059,544.313,1512,0,965,0
16.171,769.079,1860,0,348,14
38.7914,505.057,2469,0,609,0
26.6381,773.947,2836,0,367,26
2.71169,783.218,2840,0,4,8
33.0614,641.919,280,0,278,0
16.4346,276.752,664,0,384,0
24.7817,331.38,1376,0,712,0
25.4835,713.84,1420,0,1079,0
30.771,733.386,1421,0,1328,0
29.8862,578.492,1422,0,1286,0
31.4198,524.668,1423,0,1351,0
25.9684,448.537,1424,0,1118,0
29.1205,450.216,1425,0,1256,0
29.2783,662.352,1426,0,1264,0
25.1659,578.319,1426,0,1086,0
17.1623,707.757,1427,0,742,0
18.5052,788.856,1427,0,798,0
37.5472,515.406,1429,0,1620,0
28.8197,420.504,1429,0,1239,1
10.5005,534.019,1430,0,451,0
18.5353,961.791,1430,0,800,0
17.441,831.499,1431,0,752,0
10.2243,687.789,1431,0,205,0
28.752,783.252,1432,0,1188,0
28.9957,808.814,1433,0,1257,0
20.7771,472.234,1433,0,410,6
10.637,145.433,1433,0,229,0
28.2121,1258.26,1434,0,1224,0
23.7952,770.44,1435,0,1031,0
25.4115,608.096,1435,0,1099,0
9.22067,699.478,1436,0,398,0
8.28504,697.703,1436,0,358,0
25.3836,1464.41,1437,0,961,0
15.9052,538.978,1437,0,687,0
23.8888,1218.83,1438,0,1041,0
13.8753,1355.45,1438,0,524,9
27.1864,353.659,1439,0,534,2
24.4467,738.857,1439,0,1057,0
19.7685,683.024,1440,0,852,0
11.2034,611.99,1440,0,484,0
29.1504,1265.05,1441,0,1266,0
12.916,859.309,1441,0,472,5
33.4957,316.032,1442,0,810,0
26.3667,661.328,1443,0,1140,0
19.1953,770.202,1443,0,827,0
20.9143,188.561,1443,0,180,3
7.09194,300.485,1444,0,307,0
15.5986,807.492,1444,0,677,0
8.47403,1150.14,1444,0,304,0
17.5247,1431.97,1445,0,769,0
22.2223,928.112,1446,0,961,0
34.618,848.509,1447,0,1493,0
7.65083,842.565,1447,0,331,0
22.7589,1128.5,1448,0,992,0
31.1853,763.333,1448,0,1347,0
11.8845,876.989,1449,0,450,8
22.6961,146.838,1449,0,318,0
11.9894,665.466,1449,0,383,3
30.6796,361.659,1450,0,738,0
24.2985,105.982,1450,0,323,3
13.8107,419.45,1450,0,553,3
29.7423,176.252,1451,0,602,0
25.7146,151.038,1451,0,382,2
25.285,630.144,1452,0,1092,0
21.7353,638.589,1452,0,935,0
27.6817,503.808,1453,0,1196,0
16.2744,554.697,1454,0,701,0
15.6656,974.434,1454,0,682,0
23.1196,1094.32,1455,0,1011,0
10.6405,815.654,1455,0,460,0
16.4162,1079.2,1456,0,710,0
21.8143,1000.4,1456,0,952,1
14.2782,785.324,1457,0,617,0
29.6948,1391.13,1458,0,1291,0
27.9541,642.205,1459,0,1204,0
32.1891,494.108,1459,0,1387,0
18.7172,451.546,1460,0,804,0
9.61047,425.514,1460,0,413,0
15.006,1258.09,1461,0,654,0
18.5464,1132.53,1461,0,802,0
14.9272,887.134,1462,0,644,0
15.5903,1058.06,1462,0,676,0
36.5305,715.194,1463,0,1583,0
15.379,602.397,1464,0,370,2
39.05,456.845,1464,0,1263,1
13.4624,468.803,1465,0,579,0
13.7474,646.452,1465,0,595,0
30.8928,1227.32,1466,0,1338,0
26.0387,728.634,1467,0,1122,0
21.9859,747.296,1468,0,948,0
7.68105,742.189,1468,0,279,8
32.2078,255.237,1468,0,703,0
28.6078,729.909,1469,0,1233,0
29.7623,727.38,1470,0,1282,0
11.1013,740.737,1470,0,478,0
20.1739,682.198,1471,0,870,0
41.4133,643.806,1472,0,1787,0
23.2935,752.305,1473,0,1005,0
16.0944,767.202,1473,0,690,1
7.142,712.912,1473,0,155,6
17.1885,435.756,1473,0,163,0
17.4652,953.267,1474,0,756,0
26.2964,1009.94,1475,0,1143,1
25.5626,154.151,1475,0,365,6
17.8871,752.132,1475,0,775,0
12.0444,605.213,1476,0,521,0
26.3863,1173.17,1477,0,1156,0
23.2024,858.726,1477,0,988,2
23.6769,149.311,1477,0,284,2
12.04,596.136,1478,0,505,5
22.1899,236.042,1478,0,234,1
17.4033,562.925,1478,0,750,0
22.9531,1018.94,1479,0,995,0
36.458,607.606,1480,0,1579,0
23.7155,706.315,1481,0,1009,2
20.3202,666.974,1481,0,876,0
37.9849,642.468,1483,0,1637,0
23.7075,739.486,1483,0,1022,0
28.6174,687.476,1484,0,1232,0
25.0442,147.83,1484,0,336,4
18.0815,663.328,1485,0,790,0
33.002,599.145,1486,0,1413,1
27.1225,576.322,1487,0,1168,0
28.0091,691.003,1487,0,1213,0
22.7731,690.705,1488,0,982,0
11.8964,620.284,1488,0,516,0
17.8758,693.958,1489,0,770,0
23.7916,828.766,1490,0,1031,0
26.7989,1131.33,1490,0,1162,0
9.59384,957.67,1491,0,350,7
3.17702,828.634,1491,0,24,6
17.4397,585.234,7,0,5,0
8.11495,113.311,244,0,237,0
27.5302,367.787,745,0,939,0
22.7434,437.292,746,0,983,0
15.7741,585.875,747,0,687,0
13.308,675.823,748,0,581,0
18.658,414.114,749,0,803,0
15.083,409.243,750,0,644,1
19.3687,484.48,751,0,838,0
27.0249,343.192,753,0,1168,0
19.3387,550.972,754,0,834,0
16.8408,484.3,755,0,728,0
7.63545,456.666,755,0,330,0
9.71615,780.843,756,0,424,0
22.9337,528.607,757,0,997,0
15.5762,511.206,758,0,667,0
17.1487,484.033,759,0,742,0
5.59375,429.473,759,0,242,0
15.1036,1227.46,760,0,669,0
21.4696,571.001,761,0,915,2
7.23957,797.735,762,0,243,8
11.9738,187.229,762,0,209,0
17.3307,457.907,763,0,751,0
21.6164,461.566,764,0,935,0
22.0868,483.319,765,0,954,0
14.762,632.718,766,0,641,0
17.7645,500.423,767,0,767,0
17.9739,580.696,768,0,769,2
17.2773,465.509,769,0,747,0
22.7537,420.06,770,0,982,0
20.1535,407.925,772,0,873,0
15.8074,588.529,772,0,686,0
20.9931,358.114,774,0,902,0
22.0451,496.209,775,0,952,0
14.21,640.259,776,0,617,0
16.8324,528.601,777,0,728,0
11.8006,786.158,777,0,509,1
15.4186,285.434,778,0,288,0
16.7974,415.416,779,0,721,0
22.6061,367.232,780,0,977,2
19.5102,531.529,781,0,826,0
21.5989,375.578,782,0,932,0
19.4578,468.56,783,0,830,3
23.4709,352.817,784,0,1013,0
22.6187,419.078,786,0,975,0
18.5666,534.025,787,0,801,0
23.7724,344.664,788,0,1013,3
23.8844,367.087,789,0,1032,0
20.3638,263.26,790,0,880,0
25.8674,410.425,792,0,1119,0
18.3992,593.725,793,0,795,0
16.2846,93.326,793,0,307,6
20.0892,445.293,794,0,868,0
20.1121,324.492,795,0,870,0
14.1723,388.538,796,0,613,0
13.7403,836.737,797,0,599,1
14.6737,950.062,798,0,591,3
13.986,294.507,798,0,252,10
13.9392,655.423,799,0,600,0
13.3678,690.627,799,0,576,0
15.1564,659.651,800,0,652,0
10.1785,341.668,800,0,113,8
15.3239,701.27,801,0,585,0
16.3655,579.45,802,0,702,0
15.6987,625.367,803,0,678,0
8.23138,777.545,803,0,274,19
2.14185,809.974,803,0,57,3
9.4204,563.5,6,0,4,0
7.72035,158.455,229,0,223,0
16.2649,325.44,402,0,617,0
11.8966,387.733,403,0,513,0
12.8339,402.621,404,0,552,0
11.0498,395.615,406,0,572,0
0,370.873,406,0,110,0
0,370.873,406,0,0,0
0,370.873,406,0,0,0
0,370.873,406,0,0,0
0,370.873,406,0,0,0
0,370.873,406,0,0,0
,,,,,
,,,,,
,,,,,
,,,,,
Method,CTCP,,,,
MSS,750,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
14.594,176.676,870,0,868,0
23.8527,540.982,2282,0,1412,0
10.6303,770.247,2790,0,508,11
29.5157,320.046,3728,0,938,1
16.1184,538.338,4601,0,873,13
34.5104,223.826,5181,0,580,0
12.6026,440.25,5929,0,748,0
17.2095,440.25,6512,0,583,3
11.2793,1728.71,7156,0,644,11
16.3264,761.207,15,0,13,0
5.04058,62.985,316,0,301,0
23.3968,347.653,1701,0,1385,0
10.4107,574.877,2317,0,616,0
19.1405,706.356,3448,0,1131,0
13.3041,706.356,3578,0,1117,0
14.0856,706.356,3578,0,896,0
21.062,706.356,3579,0,1871,0
25.6648,706.356,3579,0,2284,0
27.9607,706.356,3580,0,2485,0
24.5179,706.356,3580,0,2182,0
7.15946,750.789,3581,0,516,8
27.9251,369.38,3581,0,807,0
9.00589,474.054,3581,0,733,9
27.6975,86.882,3581,0,666,1
16.7076,319.121,3582,0,1267,2
29.8392,452.399,3582,0,1081,0
11.8131,551.859,3582,0,637,6
4.98058,656.586,3582,0,374,0
20.444,191.971,38,0,36,0
8.96218,177.59,571,0,533,0
13.6262,456.845,1382,0,811,0
10.4014,454.761,1791,0,718,0
8.2159,771.893,1791,0,733,0
21.7599,632.164,1792,0,1946,0
21.0664,418.365,1793,0,1869,0
22.4031,534.337,1794,0,1978,2
23.0445,427.672,1795,0,2029,10
8.14751,424.667,1796,0,724,0
10.4284,762.855,1796,0,931,0
12.9868,927.715,1797,0,1160,0
15.5962,914.406,1798,0,1388,0
15.6095,711.487,1799,0,1391,0
24.5911,547.595,1800,0,2191,0
22.7493,465.983,1801,0,2021,0
20.5103,483.777,1802,0,1825,0
26.4942,369.203,1803,0,2354,0
21.7237,438.87,1804,0,1929,1
14.8119,326.403,1805,0,1313,2
11.8127,699.642,1806,0,1051,0
13.7297,608.989,1806,0,1225,0
15.6943,857.844,1807,0,1397,1
20.7359,607.03,1808,0,1845,0
7.77863,551.069,1808,0,626,3
30.6519,439.449,1809,0,1884,0
16.3255,597.171,1810,0,1425,3
23.1748,516.93,1811,0,1187,0
14.0809,386.226,1812,0,1250,0
16.8974,522.06,1812,0,1501,0
10.412,677.508,1813,0,928,0
8.11284,733.243,1813,0,723,0
22.1411,613.899,1814,0,1973,0
23.6601,551.776,1816,0,2101,1
20.5297,434.696,1817,0,1826,0
18.0336,561.599,1817,0,1602,0
23.5792,436.632,1819,0,2089,0
14.8879,365.023,1819,0,1320,0
14.4314,530.226,1820,0,1279,1
13.5731,787.234,1821,0,1210,0
7.23122,759.556,1821,0,656,0
20.3677,683.025,1822,0,1809,0
26.2757,388.359,1823,0,2330,0
22.7967,489.427,1824,0,2023,0
27.0496,374.001,1826,0,2399,0
13.4066,624.888,1826,0,1193,0
14.0695,446.817,1827,0,1248,1
14.2506,878.345,1828,0,1272,0
12.0551,614.837,1828,0,1072,0
13.3299,925.097,1829,0,1184,0
25.5674,591.323,1830,0,2272,0
22.4094,468.767,1831,0,1985,1
22.0667,420.3,1832,0,1962,0
13.6683,769.455,1833,0,1214,0
15.6811,161.914,1833,0,475,6
8.61899,409.503,1834,0,562,1
38.2174,336.148,1835,0,2646,1
24.18,531.542,1836,0,2142,0
24.247,446.731,1837,0,2153,0
15.8426,376.337,1838,0,1406,0
10.3476,457.287,1839,0,918,0
12.5296,876.63,1839,0,1118,0
9.48998,849.577,1840,0,846,0
24.4881,550.261,1841,0,2186,0
30.2116,382.43,1842,0,2683,0
21.9634,404.357,1843,0,1949,1
27.5171,369.883,1845,0,2442,0
16.3948,567.362,1846,0,1458,0
7.95646,461.754,1846,0,706,0
8.01552,611.712,1846,0,716,0
6.59827,1158.26,1847,0,590,0
13.2478,1425.76,1847,0,1186,0
35.0782,363.826,1849,0,3096,18
28.4729,397.928,1850,0,2526,0
26.6439,365.588,1852,0,2366,0
22.9969,413.59,1853,0,2041,0
9.34803,592.024,1853,0,831,0
11.3613,606.569,1854,0,1011,0
8.71695,915.834,1854,0,782,0
11.7911,1131.29,1855,0,1056,0
19.8073,1069.26,1856,0,1765,0
14.3178,715.639,1856,0,1275,0
4.94478,810.582,1856,0,289,13
24.3214,644.983,1857,0,1386,0
17.5194,593.787,1858,0,1557,1
16.0307,594.186,1859,0,1422,0
23.7018,439.664,1860,0,2102,0
22.3375,417.743,1861,0,1981,0
20.9582,675.693,1862,0,1863,0
16.0219,568.775,1863,0,1426,1
9.76001,530.423,1863,0,866,0
9.42506,610.43,1864,0,837,0
13.9673,923.244,1864,0,1246,0
21.1882,647.719,1865,0,1884,0
