SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
153.365,100,83333,0,62,30
132.248,373.375,83333,0,4,2
3.00142,708.363,83333,0,15,1
0,708.363,83333,0,0,0
90.4653,570.194,83333,0,19,0
17.6402,558.391,83333,0,39,4
37.9436,681.212,83333,0,6,6
71.2253,773.448,83333,0,51,0
4.77234,773.448,83333,0,0,8
107.849,734.694,83333,0,61,0
5.00573,734.694,83333,0,0,2
109.5,676.142,83333,0,48,0
7.46986,676.142,83333,0,0,13
101.405,768.937,83333,0,35,0
8.4691,769.752,83333,0,20,3
53.1947,769.8,83333,0,7,1
56.0271,769.827,83333,0,45,2
29.948,767.826,83333,0,2,3
76.9834,761.301,83333,0,47,0
102.942,621.449,83333,0,36,3
90.2462,616.348,83333,0,26,34
0.941851,653.591,83333,0,2,3
98.9502,688.908,83333,0,26,0
8.86972,690.022,83333,0,31,5
74.1614,753.525,83333,0,15,1
34.6663,730.51,83333,0,45,5
53.7251,736.383,83333,0,10,1
60.0053,719.46,83333,0,52,4
0.430485,719.46,83333,0,0,5
109.221,664.344,83333,0,61,0
6.31543,665.493,83333,0,1,6
104.169,669.993,83333,0,53,0
3.7321,669.993,83333,0,0,6
103.514,744.805,83333,0,50,0
4.3537,744.862,83333,0,7,7
98.5436,768.776,83333,0,23,0
8.54188,769.915,83333,0,29,6
81.7454,702.111,83333,0,16,0
24.3472,693.199,83333,0,30,3
98.2564,740.242,83333,0,21,0
71.0608,756.966,83333,0,13,4
121.629,673.878,83333,0,52,24
0.512021,700.759,83333,0,3,1
75.747,618.989,83333,0,15,0
33.3117,613.83,83333,0,47,1
101.932,700.485,83333,0,24,0
14.7385,706.716,83333,0,37,6
47.6413,735.331,83333,0,15,1
63.8327,690.897,83333,0,49,0
12.2147,690.897,83333,0,0,7
103.348,771.218,83333,0,49,0
8.58082,771.274,83333,0,5,6
60.8305,771.259,83333,0,18,0
42.1954,723.795,83333,0,33,0
6.69233,723.795,83333,0,0,3
107.366,741.245,83333,0,47,0
8.98255,741.245,83333,0,0,6
70.9153,714.11,83333,0,26,0
40.8432,577.349,83333,0,29,0
65.3101,612.554,83333,0,2,6
46.2841,650.513,83333,0,3,4
0,650.513,83333,0,0,0
100.236,642.354,83333,0,16,0
53.0438,642.217,83333,0,1,23
101.406,663.719,83333,0,24,0
45.7784,664.573,83333,0,21,19
48.4277,715.576,83333,0,6,1
58.2436,757.064,83333,0,52,2
2.42858,757.064,83333,0,0,3
104.981,746.603,83333,0,58,0
