

Method,CTCP
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Recv Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
0,0.283721,0,52.287,2,8192,0,0,0,0.011648
0,0.337692,0,47.573,2,8192,0,0,0,0.011648
0,0.394215,0,31.623,2,8192,0,0,0,0.011648
0,0.372669,0,35.945,2,8192,0,0,0,0.011648
0,0.395743,0,34.896,2,8192,0,0,0,0.011648
0,0.384296,0,39.719,2,8192,0,0,0,0.011648
0,0.291107,0,49.029,2,8192,0,0,0,0.011648
0,0.302767,0,37.747,2,8192,0,0,0,0.011648
0,0.383975,0,36.29,2,8192,0,0,0,0.011648
0,0.407414,0,30.965,2,8192,0,0,0,0.011648
0,0.384297,0,30.502,2,8192,0,0,0,0.011648
0,0.372575,0,35.63,2,8192,0,0,0,0.011648
0,0.395894,0,34.607,2,8192,0,0,0,0.011648
0,0.349289,0,40.46,2,8192,0,0,0,0.011648
0,0.337683,0,37.324,2,8192,0,0,0,0.011648
0,0.349353,0,41.372,2,8192,0,0,0,0.011648
0,0.372311,0,36.113,2,8192,0,0,0,0.011648
0,0.279405,0,45.144,2,8192,0,0,0,0.011648
0,0.244453,0,58.998,2,8192,0,0,0,0.011648
0,0.326063,0,37.498,2,8192,0,0,0,0.011648
0,0.349318,0,45.148,2,8192,0,0,0,0.011648
0,0.337266,0,39.73,2,8192,0,0,0,0.011648
0,0.325969,0,38.839,2,8192,0,0,0,0.011648
0,0.291151,0,41.201,2,8192,0,0,0,0.011648
0,0.18635,0,69.968,2,8192,0,0,0,0.011648
0,0.30268,0,40.904,2,8192,0,0,0,0.011648
0,0.384195,0,36.046,2,8192,0,0,0,0.011648
0,0.395406,0,37.845,2,8192,0,0,0,0.011648
0,0.360836,0,33.657,2,8192,0,0,0,0.011648
0,0.349376,0,35.74,2,8192,0,0,0,0.011648
0,0.349087,0,38.483,2,8192,0,0,0,0.011648
0,0.360883,0,33.266,2,8192,0,0,0,0.011648
0,0.360992,0,35.699,2,8192,0,0,0,0.011648
0,0.372338,0,38.227,2,8192,0,0,0,0.011648
0,0.3259,0,43.673,2,8192,0,0,0,0.011648
0,0.395931,0,44.301,2,8192,0,0,0,0.011648
0,0.349151,0,39.723,2,8192,0,0,0,0.011648
0,0.372205,0,37.332,2,8192,0,0,0,0.011648
0,0.360661,0,41.841,2,8192,0,0,0,0.011648
0,0.313722,0,40.186,2,8192,0,0,0,0.011648
0,0.372625,0,36.494,2,8192,0,0,0,0.011648
0,0.384235,0,32.366,2,8192,0,0,0,0.011648
0,0.372121,0,35.04,2,8192,0,0,0,0.011648
0,0.348965,0,38.935,2,8192,0,0,0,0.011648
0,0.290833,0,46.824,2,8192,0,0,0,0.011648
0,0.314384,0,41.783,2,8192,0,0,0,0.011648
0,0,0,41.783,2,8192,0,0,0,0.011648
0,0,0,41.783,2,8192,0,0,0,0.011648


Method,CTCP
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Recv Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
0,4.1428,0,2.226,2,8192,0,0,0,0.011648
0,4.85652,0,3.024,2,8192,0,0,0,0.011648
0,5.0401,0,2.171,2,8192,0,0,0,0.011648
0,5.33422,0,2.395,2,8192,0,0,0,0.011648
0,4.85543,0,2.532,2,8192,0,0,0,0.011648
0,5.2711,0,2.045,2,8192,0,0,0,0.011648
0,5.1558,0,3.597,2,8192,0,0,0,0.011648
0,5.02981,0,2.169,2,8192,0,0,0,0.011648
0,5.2615,0,1.935,2,8192,0,0,0,0.011648
0,4.51403,0,2.046,2,8192,0,0,0,0.011648
0,5.64833,0,2.437,2,8192,0,0,0,0.011648
0,5.40194,0,2.583,2,8192,0,0,0,0.011648
0,5.71341,0,3.705,2,8192,0,0,0,0.011648
0,4.52637,0,2.31,2,8192,0,0,0,0.011648
0,4.84204,0,3.105,2,8192,0,0,0,0.011648
0,5.76092,0,2.164,2,8192,0,0,0,0.011648
0,5.5875,0,2.64,2,8192,0,0,0,0.011648
0,4.73787,0,3.422,2,8192,0,0,0,0.011648
0,5.38028,0,2.206,2,8192,0,0,0,0.011648
0,5.78712,0,2.852,2,8192,0,0,0,0.011648
0,5.69059,0,3,2,8192,0,0,0,0.011648
0,4.24738,0,4.878,2,8192,0,0,0,0.011648
0,4.96085,0,2.252,2,8192,0,0,0,0.011648
0,5.93621,0,1.959,2,8192,0,0,0,0.011648
0,6.10036,0,1.742,2,8192,0,0,0,0.011648
0,6.08936,0,2.292,2,8192,0,0,0,0.011648
0,5.52511,0,1.975,2,8192,0,0,0,0.011648
0,6.12076,0,2.077,2,8192,0,0,0,0.011648
0,5.85711,0,1.987,2,8192,0,0,0,0.011648
0,5.61318,0,2.254,2,8192,0,0,0,0.011648
0,6.26471,0,2.443,2,8192,0,0,0,0.011648
0,6.34673,0,1.986,2,8192,0,0,0,0.011648
0,6.18365,0,1.816,2,8192,0,0,0,0.011648
0,6.06702,0,2.258,2,8192,0,0,0,0.011648
0,5.86947,0,2.615,2,8192,0,0,0,0.011648
0,5.21693,0,2.078,2,8192,0,0,0,0.011648
0,5.58727,0,2.029,2,8192,0,0,0,0.011648
0,5.48006,0,2.238,2,8192,0,0,0,0.011648
0,5.11116,0,2.049,2,8192,0,0,0,0.011648
0,5.97302,0,2.129,2,8192,0,0,0,0.011648
0,3.79247,0,2.921,2,8192,0,0,0,0.011648
0,4.54156,0,3.224,2,8192,0,0,0,0.011648
0,5.11213,0,2.407,2,8192,0,0,0,0.011648
0,4.98477,0,1.851,2,8192,0,0,0,0.011648
0,5.23881,0,3.488,2,8192,0,0,0,0.011648
0,5.32921,0,2.558,2,8192,0,0,0,0.011648
