

Method,CUDPBlast
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Recv Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
0,26.606,2,29.817,83333,8192,0,0,0,0.011648
0,21.1222,1,77.151,83333,8192,0,0,0,0.011648
0,13.5091,18,504.851,83333,8192,0,0,0,0.011648
0,6.07901,20,1178.63,83333,8192,0,0,0,0.011648
0,9.39723,1,956.486,83333,8192,0,0,0,0.011648
0,7.99466,1,647.206,83333,8192,0,0,0,0.011648
0,7.38058,9,985.278,83333,8192,0,0,0,0.011648
0,8.87343,10,579.357,83333,8192,0,0,0,0.011648
0,7.76599,11,462.448,83333,8192,0,0,0,0.011648
0,6.71908,15,1225.75,83333,8192,0,0,0,0.011648
0,10.517,13,118.913,83333,8192,0,0,0,0.011648
0,8.27292,1,196.829,83333,8192,0,0,0,0.011648
0,6.95676,11,822.378,83333,8192,0,0,0,0.011648
0,5.34784,13,1397.35,83333,8192,0,0,0,0.011648
0,5.45805,31,1705.66,83333,8192,0,0,0,0.011648
0,8.25571,21,715.064,83333,8192,0,0,0,0.011648
0,11.782,11,226.894,83333,8192,0,0,0,0.011648
0,8.59229,14,135.713,83333,8192,0,0,0,0.011648
0,10.6784,10,125.5,83333,8192,0,0,0,0.011648
0,10.0382,23,137.642,83333,8192,0,0,0,0.011648
0,13.6575,3,68.443,83333,8192,0,0,0,0.011648
0,6.26564,14,187.875,83333,8192,0,0,0,0.011648
0,7.42583,11,214.492,83333,8192,0,0,0,0.011648
0,12.4708,9,210.417,83333,8192,0,0,0,0.011648
0,7.93488,9,297.117,83333,8192,0,0,0,0.011648
0,7.33721,8,246.675,83333,8192,0,0,0,0.011648
0,9.86344,5,212.549,83333,8192,0,0,0,0.011648
0,8.24435,18,337.881,83333,8192,0,0,0,0.011648
0,19.1585,5,38.655,83333,8192,0,0,0,0.011648
0,24.1229,3,33.803,83333,8192,0,0,0,0.011648
0,16.3846,4,131.663,83333,8192,0,0,0,0.011648
0,6.42775,14,598.945,83333,8192,0,0,0,0.011648
0,6.35805,0,1438.46,83333,8192,0,0,0,0.011648
0,8.6872,8,2216.88,83333,8192,0,0,0,0.011648
0,7.38316,18,907.705,83333,8192,0,0,0,0.011648
0,6.35795,5,812.431,83333,8192,0,0,0,0.011648
0,11.8781,4,232.197,83333,8192,0,0,0,0.011648
0,10.2462,5,57.284,83333,8192,0,0,0,0.011648
0,18.2387,9,43.391,83333,8192,0,0,0,0.011648
0,20.4995,3,37.461,83333,8192,0,0,0,0.011648
0,18.8753,5,40.156,83333,8192,0,0,0,0.011648
0,12.3704,5,277.099,83333,8192,0,0,0,0.011648
0,9.76542,7,182.503,83333,8192,0,0,0,0.011648
0,6.62137,8,159.226,83333,8192,0,0,0,0.011648
0,5.76359,8,221.889,83333,8192,0,0,0,0.011648
0,6.66037,5,182.707,83333,8192,0,0,0,0.011648
0,6.37035,27,132.25,83333,8192,0,0,0,0.011648
0,5.7614,18,204.146,83333,8192,0,0,0,0.011648
0,6.03804,8,302.585,83333,8192,0,0,0,0.011648
0,8.66416,6,305.301,83333,8192,0,0,0,0.011648
0,8.3502,16,251.847,83333,8192,0,0,0,0.011648
0,9.39046,10,70.523,83333,8192,0,0,0,0.011648
0,18.7239,9,45.864,83333,8192,0,0,0,0.011648
0,21.0411,1,32.499,83333,8192,0,0,0,0.011648
0,20.0777,2,37.165,83333,8192,0,0,0,0.011648
0,21.9273,4,37.355,83333,8192,0,0,0,0.011648
0,20.7196,4,35.743,83333,8192,0,0,0,0.011648
0,22.6485,2,37.104,83333,8192,0,0,0,0.011648
