

Method,UDT
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Recv Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
0,30.283,2,31.933,16,8192,1,0,0,0.011648
0,31.4781,1,28.466,16,8192,1,0,0,0.011648
0,34.2113,0,28.994,16,8192,1,0,0,0.011648
0,30.581,1,26.467,16,8192,1,0,0,0.011648
0,35.1268,0,28.755,16,8192,1,0,0,0.011648
0,32.1897,0,25.47,16,8192,1,0,0,0.011648
0,31.934,1,25.335,16,8192,1,0,0,0.011648
0,32.2969,1,34.386,16,8192,1,0,0,0.011648
0,29.5013,4,27.294,16,8192,1,0,0,0.011648
0,28.743,0,49.435,16,8192,1,0,0,0.011648
0,24.9272,2,32.612,16,8192,1,0,0,0.011648
0,22.4405,5,41.105,16,8192,1,0,0,0.011648
0,26.8097,2,43.332,16,8192,1,0,0,0.011648
0,31.219,1,44.709,16,8192,1,0,0,0.011648
0,26.8666,3,37.832,16,8192,1,0,0,0.011648
0,29.5355,0,38.689,16,8192,1,0,0,0.011648
0,29.0047,1,47.215,16,8192,1,0,0,0.011648
0,28.6088,1,38.307,16,8192,1,0,0,0.011648
0,24.6194,1,47.824,16,8192,1,0,0,0.011648
0,23.3294,15,29.109,16,8192,1,0,0,0.011648
0,28.5642,4,27.491,16,8192,1,0,0,0.011648
0,22.3087,1,44.206,16,8192,1,0,0,0.011648
0,20.2761,3,103.032,16,8192,1,0,0,0.011648
0,15.0143,13,282.812,16,8192,1,0,0,0.011648
0,9.16249,7,594.975,16,8192,1,0,0,0.011648
0,10.7419,2,1098.67,16,8192,1,0,0,0.011648
0,12.793,6,122.576,16,8192,1,0,0,0.011648
0,11.4097,13,638.435,16,8192,1,0,0,0.011648
0,10.9928,10,314.353,16,8192,1,0,0,0.011648
0,11.7605,4,276.879,16,8192,1,0,0,0.011648
0,15.6507,2,26.273,16,8192,1,0,0,0.011648
0,21.8271,3,36.794,16,8192,1,0,0,0.011648
0,26.1244,1,30.173,16,8192,1,0,0,0.011648
0,18.6664,4,79.949,16,8192,1,0,0,0.011648
0,17.0384,2,585.497,16,8192,1,0,0,0.011648
0,17.702,7,42.745,16,8192,1,0,0,0.011648
0,16.757,8,52.923,16,8192,1,0,0,0.011648
0,22.746,5,44.028,16,8192,1,0,0,0.011648
0,13.3092,7,95.083,16,8192,1,0,0,0.011648
0,16.0724,3,49.75,16,8192,1,0,0,0.011648
0,27.7665,3,26.884,16,8192,1,0,0,0.011648
0,27.8122,0,39.389,16,8192,1,0,0,0.011648
0,27.9679,3,36.835,16,8192,1,0,0,0.011648
0,19.9277,7,49,16,8192,1,0,0,0.011648
0,26.9724,4,22.928,16,8192,1,0,0,0.011648
0,31.4358,1,25.473,16,8192,1,0,0,0.011648
0,26.9614,1,29.33,16,8192,1,0,0,0.011648
0,28.1083,2,29.068,16,8192,1,0,0,0.011648
0,25.3309,1,30.644,16,8192,1,0,0,0.011648
0,25.7376,2,26.091,16,8192,1,0,0,0.011648
0,25.3753,2,34.628,16,8192,1,0,0,0.011648
0,24.0697,3,39.929,16,8192,1,0,0,0.011648
0,27.1797,2,68.786,16,8192,1,0,0,0.011648
0,26.9318,2,35.997,16,8192,1,0,0,0.011648
0,25.994,10,29.318,16,8192,1,0,0,0.011648
0,27.4804,1,29.214,16,8192,1,0,0,0.011648
0,30.361,0,28.011,16,8192,1,0,0,0.011648
0,30.253,0,35.687,16,8192,1,0,0,0.011648
0,27.9495,0,26.151,16,8192,1,0,0,0.011648
0,31.0645,0,29.686,16,8192,1,0,0,0.011648
0,29.1304,0,40.726,16,8192,1,0,0,0.011648
0,24.8564,0,28.431,16,8192,1,0,0,0.011648
0,26.8588,1,29.33,16,8192,1,0,0,0.011648
0,30.6023,0,31.772,16,8192,1,0,0,0.011648
0,29.1245,2,26.379,16,8192,1,0,0,0.011648
0,32.3947,1,27.405,16,8192,1,0,0,0.011648
0,31.4366,0,30.524,16,8192,1,0,0,0.011648
0,32.7547,1,31.547,16,8192,1,0,0,0.011648
0,30.9408,1,25.563,16,8192,1,0,0,0.011648
0,27.6697,1,29.546,16,8192,1,0,0,0.011648
0,33.6688,0,27.46,16,8192,1,0,0,0.011648
0,26.0952,2,34.653,16,8192,1,0,0,0.011648
0,27.7296,1,41.319,16,8192,1,0,0,0.011648
0,30.6032,1,24.973,16,8192,1,0,0,0.011648
0,29.6721,0,23.718,16,8192,1,0,0,0.011648
0,33.1728,0,25.545,16,8192,1,0,0,0.011648
0,29.9485,1,30.787,16,8192,1,0,0,0.011648
0,24.983,3,35.79,16,8192,1,0,0,0.011648
0,23.292,3,30.519,16,8192,1,0,0,0.011648
0,27.2137,2,26.562,16,8192,1,0,0,0.011648
0,25.816,2,31.636,16,8192,1,0,0,0.011648
0,26.6476,3,30.758,16,8192,1,0,0,0.011648
0,30.174,2,32.368,16,8192,1,0,0,0.011648
0,29.4915,2,28.593,16,8192,1,0,0,0.011648
0,31.0584,1,26.666,16,8192,1,0,0,0.011648
0,25.6572,5,33.966,16,8192,1,0,0,0.011648
0,26.5215,4,44.304,16,8192,1,0,0,0.011648
0,26.7518,0,43.157,16,8192,1,0,0,0.011648
0,24.9317,0,32.023,16,8192,1,0,0,0.011648
0,25.5273,1,39.083,16,8192,1,0,0,0.011648
0,31.1165,1,26.537,16,8192,1,0,0,0.011648
0,24.7671,3,36.497,16,8192,1,0,0,0.011648
0,28.1491,1,33.33,16,8192,1,0,0,0.011648
0,25.7416,3,40.775,16,8192,1,0,0,0.011648
0,21.9229,16,68.431,16,8192,1,0,0,0.011648
0,25.9131,2,34.961,16,8192,1,0,0,0.011648
0,24.3341,3,34.929,16,8192,1,0,0,0.011648
0,23.6121,1,46.78,16,8192,1,0,0,0.011648
0,28.4384,1,37.094,16,8192,1,0,0,0.011648
0,30.2171,1,25.119,16,8192,1,0,0,0.011648
0,29.6639,1,45.51,16,8192,1,0,0,0.011648
0,30.29,0,25.904,16,8192,1,0,0,0.011648
0,31.9758,0,28.959,16,8192,1,0,0,0.011648
0,29.3607,1,30.963,16,8192,1,0,0,0.011648
0,30.9206,1,23.771,16,8192,1,0,0,0.011648
0,28.6949,1,23.527,16,8192,1,0,0,0.011648
0,25.3945,0,44.769,16,8192,1,0,0,0.011648
0,24.2856,4,49.319,16,8192,1,0,0,0.011648
0,26.5765,2,29.698,16,8192,1,0,0,0.011648
0,26.2724,1,34.215,16,8192,1,0,0,0.011648
0,30.8959,0,32.087,16,8192,1,0,0,0.011648
0,25.8396,1,29.081,16,8192,1,0,0,0.011648
0,25.9815,2,44.615,16,8192,1,0,0,0.011648
0,27.9239,1,34.106,16,8192,1,0,0,0.011648
0,29.6394,1,50.712,16,8192,1,0,0,0.011648
0,28.2581,4,28.46,16,8192,1,0,0,0.011648
0,25.3997,0,39.897,16,8192,1,0,0,0.011648
0,26.1457,1,34.92,16,8192,1,0,0,0.011648
0,27.8035,0,34.798,16,8192,1,0,0,0.011648
0,24.3363,2,27.762,16,8192,1,0,0,0.011648
0,21.3731,2,41.183,16,8192,1,0,0,0.011648
0,22.4286,0,29.655,16,8192,1,0,0,0.011648
0,21.2307,11,56.287,16,8192,1,0,0,0.011648
0,27.5083,0,28.176,16,8192,1,0,0,0.011648
0,26.7131,1,74.91,16,8192,1,0,0,0.011648
0,23.3368,2,34.23,16,8192,1,0,0,0.011648
0,26.4556,1,51.267,16,8192,1,0,0,0.011648
0,20.8176,3,56.386,16,8192,1,0,0,0.011648
0,20.6521,5,62.169,16,8192,1,0,0,0.011648
0,20.8034,2,41.598,16,8192,1,0,0,0.011648
0,19.8235,5,54.015,16,8192,1,0,0,0.011648
0,20.1197,4,65.337,16,8192,1,0,0,0.011648
0,22.6251,3,47.004,16,8192,1,0,0,0.011648
0,20.3005,7,91.109,16,8192,1,0,0,0.011648
0,22.5226,2,46.559,16,8192,1,0,0,0.011648
0,24.9931,3,54.323,16,8192,1,0,0,0.011648
0,24.0582,3,37.925,16,8192,1,0,0,0.011648
0,29.6662,1,36.835,16,8192,1,0,0,0.011648
0,27.5319,3,46.907,16,8192,1,0,0,0.011648
0,23.3751,3,44.422,16,8192,1,0,0,0.011648
0,14.0294,4,438.249,16,8192,1,0,0,0.011648
0,16.3303,4,428.978,16,8192,1,0,0,0.011648
0,12.6048,5,376.331,16,8192,1,0,0,0.011648
0,17.4985,2,38.316,16,8192,1,0,0,0.011648
0,15.6977,9,277.339,16,8192,1,0,0,0.011648
0,20.095,3,35.99,16,8192,1,0,0,0.011648
0,21.6448,5,36.619,16,8192,1,0,0,0.011648
0,23.7482,3,65.681,16,8192,1,0,0,0.011648
0,18.8652,3,42.089,16,8192,1,0,0,0.011648
0,21.5685,2,50.975,16,8192,1,0,0,0.011648
0,18.6787,4,56.956,16,8192,1,0,0,0.011648
0,23.1954,1,47.917,16,8192,1,0,0,0.011648
0,26.3202,1,41.243,16,8192,1,0,0,0.011648
0,24.3592,3,55.264,16,8192,1,0,0,0.011648
0,14.4791,4,49.068,16,8192,1,0,0,0.011648
0,18.7945,7,54.999,16,8192,1,0,0,0.011648
0,18.4531,7,53.13,16,8192,1,0,0,0.011648
0,19.5254,4,39.941,16,8192,1,0,0,0.011648
0,16.2404,1,38.417,16,8192,1,0,0,0.011648
0,24.1737,5,41.543,16,8192,1,0,0,0.011648
0.0814635,12.4872,1,26.715,19,8184,1,2,0,1.456
0,0,0,26.715,19,8184,1,0,0,1.456
0,0,0,26.715,19,8184,1,0,0,1.456
0,0,0,26.715,19,8184,1,0,0,1.456
0,0,0,26.715,19,8184,1,0,0,1.456




Method,UDT
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Recv Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
0,28.7219,0,27.315,16,8192,1,0,0,0.011648
0,26.1593,0,34.683,16,8192,1,0,0,0.011648
0,25.2612,1,22.916,16,8192,1,0,0,0.011648
0,26.5462,1,48.937,16,8192,1,0,0,0.011648
0,27.4566,1,25.103,16,8192,1,0,0,0.011648
0,28.2059,2,28.653,16,8192,1,0,0,0.011648
0,27.7208,1,30.531,16,8192,1,0,0,0.011648
0,26.6912,3,39.082,16,8192,1,0,0,0.011648
0,25.4209,0,25.492,16,8192,1,0,0,0.011648
0,29.7442,0,25.692,16,8192,1,0,0,0.011648
0,25.7583,1,32.429,16,8192,1,0,0,0.011648
0,25.1748,0,37.035,16,8192,1,0,0,0.011648
0,29.3444,0,32.049,16,8192,1,0,0,0.011648
0,32.141,1,35,16,8192,1,0,0,0.011648
