SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
17.3274,286.333,767,1,73,0
18.736,705.353,1484,34,59,13
89.539,765.633,40562,33.8936,28,23
75.2067,765.633,40562,65,0,25
91.6211,768.322,52618,64.9576,3,0
85.9431,770.386,48671,64.9155,2,0
43.3996,777.073,41860,120,36,10
13.1422,804.49,35367,119.856,4,4
99.5274,606.66,20304,113.464,65,0
30.0348,606.66,20304,162,0,18
26.6908,752.358,46167,159.927,14,1
74.6899,732.658,38613,153.307,41,0
42.3357,745.37,36562,195,2,22
60.9015,786.138,34066,187.68,30,0
23.8787,786.138,34066,269,0,15
8.43499,785.317,32390,267.56,3,7
44.5298,399.986,13103,255.92,21,0
46.3023,401.215,12270,252.049,8,0
41.8278,401.215,12270,360,0,40
31.9586,438.862,16395,360,1,25
32.103,438.862,16395,360,0,0
15.228,438.862,16395,456,0,12
2.00287,438.862,16395,456,0,11
17.2105,423.492,13249,434.219,13,0
27.7338,293.904,16772,401.126,27,0
29.7018,440.499,25778,367.244,33,0
41.178,709.408,27954,239.064,24,0
42.4372,709.408,27954,303,0,62
33.0414,709.408,27954,384,0,25
15.5799,709.408,27954,547,0,46
1.16419,709.408,27954,616,0,9
15.5538,154.769,9975,539.556,33,0
27.8806,139.446,8627,265.719,58,0
59.2576,357.626,39034,176.573,26,0
59.559,412.092,33400,243,3,50
41.6124,439.355,32391,348,1,42
24.8572,439.355,32391,630,0,51
4.04879,439.355,32391,630,0,8
11.9524,158.247,12005,569.054,31,0
21.9148,95.003,7753,483.722,56,0
26.1004,242.909,8594,405.301,62,0
30.9256,301.041,12371,379.175,25,0
28.616,408.534,12157,425.563,56,2
24.0776,495.782,14354,537,2,46
16.8956,533.075,15412,767,1,41
12.9149,533.075,15412,971,0,15
12.4805,565.55,17563,971,1,0
13.4852,85.44,3988,763.437,40,0
32.8567,155.257,7868,243.317,42,0
72.7011,551.784,18399,164,68,16
67.4103,551.784,18399,209,0,74
26.8173,551.784,18399,381,0,38
4.31719,649.408,20190,379.554,4,0
32.305,497.506,17565,336.171,64,0
35.9888,667.082,54153,315.988,35,0
37.3502,667.082,54153,315.988,0,0
22.9652,667.082,54153,401,0,47
1.73631,667.082,54153,401,0,8
28.5716,442.422,30299,360.52,38,0
33.6879,603.868,39917,337.408,32,0
34.0932,603.868,39917,337.408,0,0
24.5499,603.868,39917,428,0,23
7.66993,603.868,39917,428,0,32
23.0502,491.931,20631,398.971,21,0
30.1798,521.395,44929,375.03,22,0
30.8704,521.395,44929,375.03,0,0
27.1546,521.395,44929,375.03,0,0
22.2507,693.649,59723,461.837,9,27
25.2567,724.294,58227,455.526,4,0
25.3498,724.294,58227,455.526,0,0
25.6939,724.294,58227,455.526,0,0
20.2849,724.294,58227,578,0,12
20.3086,758.987,48687,568.148,8,1
20.2186,758.987,48687,568.148,0,0
20.3797,758.987,48687,568.148,0,0
18.0611,758.987,48687,568.148,0,0
1.97836,758.987,48687,1026,0,9
5.04017,554.966,23928,948.174,10,0
13.3366,172.854,17867,790.727,28,0
16.0583,419.356,26683,1276,22,6
9.14394,557.931,48429,1244.25,5,25
12.4934,322.106,11193,817.194,62,0
19.412,178.45,7740,355.005,73,1
64.0376,557.514,27861,131.287,77,0
72.2223,587.9,46279,231,5,84
34.4549,587.9,46279,293,0,17
13.883,587.9,46279,293,0,35
32.1691,343.216,9933,270.785,50,0
44.7791,640.22,23710,252.336,49,0
44.9994,640.22,23710,252.336,0,0
22.8486,640.22,23710,320,0,55
6.26659,783.425,69020,316.957,8,0
38.1322,579.421,35945,296.296,47,0
38.9859,579.421,35945,296.296,0,0
22.2896,579.421,35945,296.296,0,0
24.5402,851.906,88989,402.565,23,24
28.9157,855.011,99606,400.951,2,0
28.8269,855.011,99606,400.951,0,0
17.8372,855.011,99606,400.951,0,0
24.6819,809.684,76301,477.41,20,17
25.4992,650.339,31024,439.63,21,0
26.6308,694.649,71573,432.033,4,0
27.2307,694.649,71573,432.033,0,0
23.7911,694.649,71573,617,0,43
15.1011,694.649,71573,617,0,16
0.209348,694.649,71573,695,0,3
13.3807,335.293,13516,629.386,16,0
20.7737,155.602,11304,366.455,20,0
49.3765,426.591,35174,184.201,31,0
61.0303,500.224,41103,230,2,35
52.3918,558.36,38304,230,2,45
33.0536,558.36,38304,292,0,70
1.13843,558.36,38304,292,0,3
20.4029,342.944,12486,277.419,27,0
44.0028,533.262,16487,249.087,56,0
47.7186,574.491,17254,247.239,5,0
32.7782,574.491,17254,354,0,53
5.24966,574.491,17254,354,0,9
32.4414,273.799,11930,317.979,49,0
37.1737,508.864,35078,302.585,23,0
39.1809,519.778,42118,300.765,2,0
33.6058,519.778,42118,430,0,49
26.8056,519.778,42118,430,0,16
26.7911,519.778,42118,430,0,0
27.438,519.778,42118,430,0,0
22.2727,547.71,40540,545,1,17
21.2014,547.71,40540,545,0,0
21.3066,547.71,40540,545,0,0
20.2796,547.71,40540,545,0,0
0.94258,547.71,40540,691,0,6
6.45769,455.424,19942,654.802,11,0
19.6824,64.98,2079,467.907,47,0
50.2534,372.659,17325,203.585,67,4
56.3304,544.623,24275,281,27,64
43.0815,573.827,24140,281,1,23
30.152,573.827,24140,357,0,75
2.45365,573.827,24140,453,0,12
8.56754,622.068,52213,441.013,16,0
28.1992,585.918,43917,386.473,51,0
29.9673,585.918,43917,386.473,0,0
29.8988,585.918,43917,386.473,0,0
27.5353,585.918,43917,699,0,16
16.516,634.885,39895,699,2,0
16.4995,634.885,39895,699,0,0
16.5734,634.885,39895,699,0,0
16.5839,634.885,39895,699,0,0
8.12491,634.885,39895,699,0,0
0,634.885,39895,699,0,0
5.88885,464.078,28730,644.905,16,0
19.7755,78.878,4562,558.467,38,0
23.0147,52.209,1513,538.145,71,3
28.9488,260.23,7849,264.674,74,0
48.547,568.062,20502,326.765,57,4
32.0484,666.093,19976,412,7,91
28.9181,666.093,19976,464,0,16
24.246,666.093,19976,588,0,69
7.95125,666.093,19976,1062,0,35
0,666.093,19976,1062,0,0
10.1704,179.259,7343,868.342,29,0
14.1728,140.173,8863,786.399,31,0
15.3271,124.438,5775,713.46,28,0
17.4226,91.017,5607,620.494,27,0
26.2422,117.962,3854,312.342,36,0
47.8114,420.296,11000,172.365,51,0
63.0465,420.296,11000,219,0,54
54.5102,533.336,14132,218.045,3,27
39.7312,533.336,14132,277,0,58
3.21613,533.336,14132,277,0,12
24.8836,344.828,13143,260.409,32,0
46.68,552.851,16632,234.186,57,0
51.2445,603.976,23192,232.552,6,0
29.8948,603.976,23192,295,0,47
4.0626,699.217,41837,292.412,5,0
40.7996,474.491,31684,270.282,38,0
43.3501,507.613,34083,267.392,5,0
23.8168,507.613,34083,301,0,4
8.80719,507.613,34083,339,0,31
29.735,438.16,20981,322.596,18,0
36.462,465.443,16090,309.611,14,0
38.4865,496.521,16688,307.706,2,0
32.5881,496.521,16688,391,0,34
29.8928,496.521,16688,391,0,0
28.6289,496.521,16688,495,0,23
23.2738,496.521,16688,495,0,19
23.3162,496.521,16688,495,0,0
23.7107,496.521,16688,495,0,0
12.6392,496.521,16688,627,0,25
0.674659,496.521,16688,627,0,4
18.6338,583.167,30638,615.424,6,0
19.0962,514.892,51101,583.125,10,0
20.1602,503.612,41170,569.834,5,0
20.9954,503.612,41170,569.834,0,0
15.9995,530.415,39593,1031,1,19
11.2302,530.415,39593,1031,0,0
11.2077,530.415,39593,1031,0,0
11.135,530.415,39593,1031,0,0
11.5413,530.415,39593,1031,0,0
11.9316,530.415,39593,1031,0,0
12.8091,202.651,10169,800.043,40,0
18.174,360.796,25134,588.259,73,0
46.0189,674.356,65884,157.234,72,0
64.0264,720.634,44263,239,10,86
42.3159,720.634,44263,303,0,42
15.5203,720.634,44263,303,0,40
18.074,604.513,50100,289.827,21,0
42.2955,586.065,40269,257.71,64,0
46.4826,662.915,34014,252.504,12,0
37.7336,691.67,29462,456.903,2,37
25.381,691.67,29462,456.903,0,0
25.4036,691.67,29462,456.903,0,0
15.2831,691.67,29462,827,0,11
2.16593,691.67,29462,827,0,17
9.82844,362.87,16033,746.72,20,0
16.7029,117.787,3245,625.316,31,0
20.554,104.027,5845,543.718,26,0
22.2339,197.215,10446,500.202,19,0
24.9392,342.151,22524,436.836,26,0
43.5531,459.862,21691,244.547,30,0
41.3931,615.425,53517,289.161,7,52
36.9224,615.425,53517,367,0,48
28.1409,615.425,53517,465,0,35
19.5451,615.425,53517,664,0,58
1.81161,615.425,53517,947,0,5
6.1394,306.243,32990,857.658,20,0
30.0562,121.34,3956,205.932,52,0
75.1064,493.544,16764,128.933,40,0
42.8553,493.544,16764,237,0,34
22.3835,493.544,16764,237,0,8
49.8391,739.723,37006,226.275,36,0
42.934,739.723,37006,226.275,0,0
4.3106,739.723,37006,410,0,13
15.7477,226.329,8698,380.369,29,0
31.7472,234.934,12492,350.997,26,0
36.5348,543.881,34760,318.57,53,0
30.3419,543.881,34760,404,0,77
24.4264,543.881,34760,648,0,28
18.434,543.881,34760,648,0,54
17.8238,543.881,34760,821,0,27
7.82587,543.881,34760,821,0,25
10.3535,105.755,5771,681.186,33,0
28.0023,75.753,2864,259.873,38,0
65.513,377.821,21487,152.718,45,0
62.8645,377.821,21487,194,0,30
61.7878,692.341,25690,192.506,11,16
45.9301,692.341,25690,245,0,56
1.29203,692.341,25690,245,0,0
32.487,398.294,12140,231.394,42,0
52.0272,624.383,15015,214.978,48,0
38.8796,624.383,15015,214.978,0,1
18.076,624.383,15015,273,0,45
25.3763,453.172,39886,258.866,25,0
46.298,468.554,23928,247.341,27,0
42.5034,468.554,23928,247.341,0,0
12.7055,468.554,23928,449,0,39
15.4784,315.08,18461,418.906,21,0
29.0547,315.996,9833,377.762,34,0
31.6762,442.353,18552,358.787,20,0
32.3608,442.353,18552,358.787,0,0
26.8778,442.353,18552,576,0,13
20.589,442.353,18552,648,0,44
16.6005,442.353,18552,729,0,35
12.293,442.353,18552,1040,0,4
12.0177,187.855,20973,876.011,23,0
16.2602,51.056,3155,631.896,58,1
35.644,149.038,13396,204.811,74,0
82.191,577.725,20304,153,58,24
69.0645,577.725,20304,195,0,69
12.6379,577.725,20304,248,0,25
15.9596,548.271,35897,241.998,18,0
50.3901,576.563,17893,221.618,58,0
52.57,576.563,17893,221.618,0,0
45.6233,625.347,35027,281.207,2,33
41.223,625.347,35027,281.207,0,0
7.12134,625.347,35027,357,0,12
0,625.347,35027,357,0,0
33.0664,429.674,28191,333.209,29,0
35.3277,422.1,20171,326.677,7,0
36.0252,422.1,20171,326.677,0,0
32.3986,422.1,20171,414,0,17
27.71,422.1,20171,414,0,0
28.1671,422.1,20171,414,0,0
9.52939,422.1,20171,525,0,11
10.0613,492.104,24731,503.839,9,2
24.0794,272.984,7639,455.63,25,0
25.5851,321.631,8805,447.475,5,0
26.1601,411.621,11124,439.606,4,0
