Method,UDT,,,,
MSS,1500,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
117.999,448.666,13889,82.191,80,0
108.981,665.137,19125,66,66,16
107.398,628.348,19785,94.9299,31,0
98.1788,483.677,13926,115.681,51,0
89.0989,443.709,15836,117.97,23,0
87.6775,582.751,16257,189,69,10
86.8842,549.185,71533,140,61,22
85.8038,619.977,38501,144,67,16
85.3411,440.394,17134,169,18,12
79.6091,496.442,20784,143.006,28,0
79.3895,590.948,21575,169,32,55
78.8326,213.774,3392,1,73,0
78.5385,513.947,19472,229,16,34
75.0521,673.494,29532,97.7125,21,69
72.2716,549.185,71533,178,0,69
71.9054,619.977,38501,183,0,74
68.959,318.27,9928,143.025,44,0
68.7667,726.027,21360,191,80,2
68.0538,712.762,34608,172.28,43,3
66.5571,493.033,26042,187,33,48
62.3822,408.879,10350,186.179,67,0
61.6956,543.407,16923,215,3,32
61.2958,611.999,31712,191.528,34,0
59.4129,460.392,13206,193.35,77,2
59.0455,582.751,16257,213,0,75
58.928,550.712,33907,187.113,57,0
58.8997,595.81,24485,211,71,11
56.5291,250.505,19774,201.973,29,0
56.4301,391.469,15689,208.023,74,2
56.4208,665.793,19242,201.805,8,0
56.3836,701.445,21032,240,16,74
55.7957,70.417,2002,143.539,54,0
54.958,603.449,16354,192.232,73,2
54.7952,377.276,13524,148.728,62,0
54.76,393.187,25822,152.254,70,0
54.4129,493.033,26042,238,0,61
54.2549,746.544,21824,273,3,76
53.7313,612.228,19837,204.278,67,0
52.4213,615.635,24428,302,1,76
51.748,613.148,33214,241,15,72
50.5968,627.15,16926,233.12,7,0
50.511,440.394,17134,215,0,74
50.4632,627.471,41649,239,34,31
50.4367,712.762,34608,247,0,79
50.4202,454.954,30200,200.354,53,0
50.4115,513.947,19472,229,0,50
49.6776,671.735,19102,233.043,12,0
48.3305,521.292,14794,147,4,28
48.0711,613.655,24920,243.828,19,0
47.8025,640.274,27378,243.501,22,0
46.8537,533.693,16139,178.68,6,28
46.3656,550.712,33907,187.113,0,0
46.2105,510.923,17260,238.036,59,0
46.1083,580.414,18016,235.869,57,0
45.9016,601.909,53916,246.522,31,0
45.8797,557.753,15661,291,26,64
45.8052,646.416,23497,250.548,27,0
45.785,655.84,19312,333,0,2
44.9408,284.831,14292,166.02,49,0
44.8564,631.911,18422,261.446,17,0
44.2756,611.999,31712,274,0,69
44.1101,676.673,43335,310,44,36
43.7728,627.471,41649,303,0,80
43.1838,423.65,14586,268.35,26,5
43.183,701.445,21032,385,0,33
42.9163,407.769,12473,253.726,54,0
42.8644,665.137,19125,122,0,49
42.8149,500.355,13994,335,16,45
42.7121,483.427,21647,252.095,60,0
42.5786,655.84,19312,262.82,38,0
42.3627,646.416,23497,358,0,26
42.3082,558.972,57021,280.662,6,0
42.1586,486.674,29206,281.104,18,0
41.796,590.948,21575,242,0,39
41.4324,401.641,16934,261.34,52,0
41.1813,481.031,14367,263.071,65,0
40.9558,601.909,53916,313,0,24
40.8792,489.584,14483,262.937,79,1
40.8043,267.385,9792,188.057,78,0
40.7791,454.221,16082,281.819,8,0
40.2189,520.474,16753,268.464,47,0
40.0407,426.285,12807,216.688,44,0
39.2697,635.724,24820,348,1,47
39.2141,65.101,3470,278.803,39,0
39.1173,639.226,17488,298.739,5,0
38.7173,504.167,33722,284.657,33,0
38.6751,496.442,20784,182,0,24
38.6248,410.037,11752,280.514,57,0
38.0399,695.091,33108,298.283,77,0
37.9579,409.347,13561,309.401,8,0
37.7392,133.339,3875,185.816,74,0
37.6348,640.274,27378,309,0,44
36.941,615.635,24428,431,0,37
36.7893,631.911,18422,332,0,24
36.6063,419.461,11976,290.917,67,0
36.3654,391.177,17597,315.254,8,0
35.974,593.207,17519,299.634,56,0
35.8017,557.753,15661,369,0,26
35.6131,189.218,12024,194.122,77,0
35.5007,635.128,31433,438,1,39
35.3989,639.226,17488,380,0,60
34.6641,668.586,21174,327.123,63,0
34.6398,454.221,16082,511,0,31
34.6048,313.419,25412,329.922,22,0
34.4877,671.735,19102,296,0,45
34.4859,373.69,9903,307.408,31,0
34.472,596.702,16716,396,28,16
34.4004,676.673,43335,393,0,57
33.457,627.15,16926,333,0,68
32.4811,213.516,6676,333.622,56,0
32.2396,658.846,17940,120.095,20,0
32.1637,664.448,25563,358,1,21
32.0959,664.448,25563,358,0,0
31.9739,159.008,6811,348.308,23,0
31.9683,206.179,5858,339.282,55,0
31.9365,388.851,10085,348.126,77,2
31.6274,627.471,41649,432,0,56
31.4633,228.326,11566,358.751,78,0
31.3639,409.347,13561,443,0,47
30.6512,706.949,23272,437,7,9
30.2214,500.355,13994,607,0,47
30.1324,77.053,5183,244.391,57,0
30.1295,364.818,9543,307.453,75,0
29.5409,686.503,23784,440,3,31
29.3515,478.7,36566,398.149,0,0
29.2879,686.158,24854,381.806,74,0
29.108,759.92,44190,455,27,36
29.0964,378.451,16406,380.67,74,0
28.6877,130.381,4452,392.537,21,0
28.6571,156.376,10591,296.267,25,0
28.3829,707.762,28200,769,3,73
28.362,357.408,13160,343.317,74,0
28.0427,481.998,23132,286.666,17,0
27.8056,558.972,57021,509,0,67
27.7848,458.374,21800,427.908,0,0
27.7106,478.7,36566,398.149,12,0
27.0262,551.499,29051,510,2,64
26.7956,77.913,4089,275.527,78,1
26.4139,458.374,21800,427.908,5,0
26.3743,249.942,10825,375.885,72,0
26.1257,277.067,11383,416.385,40,0
26.1095,87.179,2640,420.619,59,0
25.7999,140.775,4879,418.842,36,0
25.7952,337.562,13776,435.36,15,0
25.6848,358.482,10798,162.957,52,0
25.2753,86.33,3894,330.721,72,0
25.024,314.989,15662,259.092,33,0
24.8852,490.02,19078,210.919,13,0
24.5356,731.331,20541,575,15,50
24.467,201.206,7861,284.353,42,0
24.4498,563.969,16178,463.618,34,0
24.3412,557.753,15661,527,0,46
24.0532,686.503,23784,557,0,44
24.0366,125.158,5916,434.145,59,0
23.998,582.506,130014,467.43,39,0
23.9279,70.506,2740,308.516,73,1
23.9053,706.949,23272,624,0,35
23.7686,75.454,2939,459.7,27,0
23.7539,170.855,6518,472.83,7,0
23.6086,619.432,21735,461.014,69,1
23.5888,520.852,16828,505.83,0,0
23.5135,223.324,6149,282.385,34,0
23.407,132.467,7615,464.571,40,0
23.3888,409.347,13561,562,0,23
23.3003,520.852,16828,505.83,3,13
23.0659,551.499,29051,510,0,0
23.0308,54.365,1816,475.566,75,0
22.8407,552.579,24461,531.457,0,0
22.7433,676.673,43335,713,0,38
22.7004,218.125,19507,405.188,46,0
22.1322,100.235,3143,489.015,29,0
21.7377,552.579,24461,531.457,7,22
21.6933,582.751,16257,385,0,28
21.5184,65.025,2087,500.639,37,0
21.4618,552.579,24461,531.457,0,0
21.2407,350.782,19328,463.618,23,0
21.2148,276.352,11172,558.224,76,2
21.1795,313.596,13459,293.695,31,0
21.1331,598.028,42435,523.736,18,0
21.118,665.793,19242,257,0,51
21.0584,409.347,13561,562,0,0
20.918,655.84,19312,602,0,51
20.8625,580.26,23606,322.368,14,0
20.5404,136.644,7950,465.65,41,0
20.3299,99.491,3142,520.727,55,0
20.2221,45.88,1883,517.458,42,0
20.2067,532.332,34133,712.881,2,17
20.1577,493.033,26042,302,0,50
20.1311,578.442,28480,646,1,16
19.8349,616.506,33482,221.47,22,0
19.8054,500.355,13994,607,0,12
19.7934,67.984,5650,514.483,66,0
19.7887,640.863,17156,564.154,23,0
19.7071,606.865,21072,575.557,13,0
19.6107,50.284,2552,533.621,53,0
19.5975,137.569,4779,471.338,46,0
19.5542,706.949,23272,624,0,0
19.5466,66.957,2399,554.039,30,0
19.0955,615.635,24428,431,0,37
18.9294,91.197,6095,522.636,38,0
18.7312,83.197,5183,489.763,43,0
18.6976,49.118,6148,564.44,73,0
18.5669,639.02,35245,578.708,24,0
18.4675,726.408,22423,620.13,2,0
18.4623,759.92,44190,821,0,26
18.1295,56.101,2860,585.471,62,0
17.9382,62.07,4886,605.049,52,0
17.7548,712.762,34608,313,0,21
17.5025,558.972,57021,817,0,6
17.1904,532.332,34133,712.881,0,0
17.0738,635.128,31433,555,0,55
16.6607,628.348,19785,121,0,19
16.6029,532.332,34133,712.881,0,0
16.4284,313.52,11969,374.389,19,0
16.2495,544.342,32768,202.25,18,0
16.0665,532.332,34133,712.881,0,0
16.0204,175.851,6103,653.428,31,0
15.9475,550.712,33907,302,0,40
15.878,120.604,8947,669.348,26,0
15.7307,707.762,28200,769,0,16
15.5766,707.762,28200,769,0,0
15.0008,638.154,24922,294.009,16,0
14.9925,141.986,11253,616.323,28,0
14.8066,595.271,30544,120.708,8,0
14.6834,669.266,17946,146.141,7,0
14.4477,589.399,40078,770.4,9,0
14.0062,601.909,53916,313,0,51
13.776,69.828,5693,745.341,41,0
13.6243,543.407,16923,215,0,21
13.4849,639.226,17488,543,0,37
12.968,552.579,24461,960,0,32
12.6697,594.896,24905,950.872,2,0
12.558,695.357,18465,253.739,7,0
12.4352,190.694,7983,508.82,25,0
12.3986,709.269,26499,97.522,2,0
12.179,664.448,25563,511,0,22
11.6669,590.948,21575,308,0,25
11.3541,676.673,43335,713,0,2
11.2513,746.544,21824,308,0,43
10.2264,701.445,21032,385,0,34
10.1953,619.977,38501,206,0,18
9.09036,513.947,19472,291,0,18
8.90755,549.185,71533,227,0,16
8.69348,123.131,4952,665.028,34,0
8.12086,712.666,25390,310.088,6,6
7.93825,686.503,23784,557,0,8
7.76545,627.471,41649,616,0,40
7.3209,580.393,24880,289.316,5,0
7.17167,631.911,18422,332,0,22
7.16864,409.466,18962,634.95,14,0
7.0643,596.113,47244,797.454,5,0
7.00289,640.274,27378,392,0,31
6.47082,671.735,19102,296,0,20
5.67712,635.381,27369,376.307,8,0
5.27264,708.115,18944,305.18,5,0
5.21051,680.868,18162,380.604,5,2
5.17121,709.295,40551,173.412,26,0
4.45754,611.999,31712,274,0,10
2.06903,627.15,16926,333,0,4
1.81631,697.01,28491,97.6171,2,0
1.44174,639.226,17488,543,0,10
1.39213,615.635,24428,779,0,13
1.35468,664.448,25563,511,0,6
0.640095,557.753,15661,527,0,5
0.232871,440.394,17134,215,0,1
0.232007,627.471,41649,616,0,2
0.0812719,655.84,19312,678,0,2
0,697.01,28491,97.6171,0,0
0,635.128,31433,555,0,0
0,503.652,14653,158.564,24,0
0,503.652,14653,158.564,0,0
0,503.652,14653,158.564,0,0
0,503.652,14653,158.564,0,0
0,503.652,14653,158.564,0,0
0,503.652,14653,158.564,0,0
,,,,,
,,,,,
,,,,,
,,,,,
Method,UDT,,,,
MSS,750,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
62.5309,92.179,14831,8.99971,68,10
34.1382,564.959,80192,10.9997,17,40
3.86156,660.306,85925,10.9997,7,0
0,660.306,85925,10.9997,0,0
57.071,389.435,77299,10.5249,41,0
6.66458,388.869,68115,16,6,8
55.3878,702.417,131298,15.3656,34,0
54.5004,590.036,107972,20.8077,37,7
39.0226,568.069,122461,37.5938,28,27
1.02138,616.969,106218,71,2,5
39.5365,446.276,100819,55.0522,38,0
25.6734,508.143,147469,58,32,8
15.9269,584.771,209456,57.3347,4,2
54.7235,518.114,126825,48.3525,48,0
51.8141,642.099,120372,68.0607,32,40
43.2517,573.135,133590,124,35,148
6.13129,649.777,152235,123.693,4,7
0,649.777,152235,123.693,0,0
53.6074,419.512,105354,71.6099,48,0
24.358,503.393,127482,44,18,27
22.3262,660.504,233331,41.7931,8,0
42.9172,583.606,144045,48,23,2
5.77324,583.606,144045,69,0,15
42.227,709.685,170995,65.9075,13,0
53.5247,599.723,191614,68.9431,52,28
23.5244,599.671,149465,88,5,41
38.78,538.828,116354,53.2378,39,0
27.9647,513.865,96429,51,20,6
40.3298,630.273,102254,45.0289,21,0
41.5784,549.697,99107,49,42,17
0,549.697,99107,49,0,0
67.5712,540.337,225871,42.6107,29,0
44.1626,730.364,151372,51.979,19,38
29.7456,749.081,219041,70,34,25
1.69351,749.081,219041,70,0,8
58.9587,687.702,107697,61.6303,24,0
24.6005,652.662,127170,76,8,22
20.0404,650.715,199411,67.7601,14,0
37.2922,510.56,164085,61.8891,13,0
55.0087,579.949,115913,99,38,28
43.2466,744.63,237099,96.8897,24,99
21.2035,750.973,215506,121,17,47
